Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Economic Fitness Metric,EF.EFM.PROD.XD,0.322757394642858,0.439103562048021,0.813569540789958,0.548771141844434,0.327684055628585,0.287613832040701,0.387864527712252,0.306883202621494,0.287182200203838,0.273009696891305,0.302576283401012,0.346897409307206,0.318012197564917,0.273313048177815,0.337426048745751,0.33743648806719,0.528505967629097
Afghanistan,AFG,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0034125246644626,0.00923450208361755,0.0172313721236597,0.0198572203268264,0.0223144181719666,0.0229592121242031,0.0218967696217445,0.0209457849891243,0.0192068260059427,0.0175401904235004,0.0159359019130549,0.0151538134118718,0.0158857518624699,0.014958776341048,0.0144123545990098,0.0136856814436272,0.0117146769448363
Albania,ALB,Economic Fitness Metric,EF.EFM.PROD.XD,0.826345862851879,0.81413059599776,1.3303995366177,0.886335536899767,0.901195657527725,0.971499891064883,0.96397208884014,0.779565386504979,0.869142553632176,1.05822227716635,0.888805915189194,0.930425614802785,0.994725064825352,1.00265295457246,0.981256159166975,0.938662882825194,1.00116941379589
Albania,ALB,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0183579420089275,0.0180349320544284,0.0294359488288854,0.026040369988297,0.0250733731198721,0.0235717940331424,0.0229456649211238,0.0223061156604394,0.0217983721223071,0.0222938797819434,0.0232692044217696,0.0240535784292588,0.024463624254859,0.0249954153420725,0.0257189618789443,0.0265160481714945,0.0248793387835404
Algeria,DZA,Economic Fitness Metric,EF.EFM.PROD.XD,0.082946893049711,0.082042747918415,0.110073742741276,0.115721462121463,0.082427007294082,0.085684963263898,0.075034666706929,0.079975208435054,0.093416876587776,0.110650244398989,0.114145708049848,0.095029996051704,0.123247805015392,0.115452194703389,0.125039123454986,0.144539185620937,0.152345428424679
Algeria,DZA,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0313805786498349,0.0349500382059542,0.0351265946448703,0.0364901973259078,0.0354060325653152,0.033853033539651,0.0319371457919877,0.0308256079515438,0.0305974432865255,0.0301962428559042,0.029719400913427,0.0300129370936578,0.0311365058427009,0.0314485285032741,0.0330844839195583,0.0347519795814804,0.033472663295376
Andorra,AND,Economic Fitness Metric,EF.EFM.PROD.XD,0.963700094396183,0.94429437023046,0.854543928540503,0.856621496371785,0.656971772094846,0.769536060200368,0.466386708854704,0.403537414576872,0.833402207575211,0.829932358456278,0.824273480436668,0.879698161649157,0.987499260173867,0.812513408060531,0.965173845917215,0.624648561209041,0.875334606318467
Andorra,AND,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.963700094396183,0.94429437023046,0.854543928540503,0.856621496371785,0.656971772094846,0.769536060200368,0.466386708854704,0.403537414576872,0.833402207575211,0.829932358456278,0.824273480436668,0.879698161649157,0.987499260173867,0.812513408060531,0.965173845917215,0.624648561209041,0.875334606318467
Angola,AGO,Economic Fitness Metric,EF.EFM.PROD.XD,0.0127598402534,0.007705939078869,0.024751383083065,0.019176481884864,0.015567571794631,0.017076939462203,0.016744876181026,0.019351880338902,0.072256539343045,0.09840290655623,0.095441427235867,0.083169448344169,0.078090192483655,0.097403090466714,0.107741853128287,0.105361113712801,0.050085265791806
Angola,AGO,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.00256949818714329,0.00344312302208924,0.00583709366045046,0.00627516372032301,0.00603381723336558,0.00567684839350925,0.00599984609136742,0.0060706728785008,0.00700190640404423,0.00763079780075104,0.00782234032787309,0.00757402454531878,0.00744765985877287,0.00715663572739326,0.00708515934280145,0.0073252965309005,0.00635884108927032
Argentina,ARG,Economic Fitness Metric,EF.EFM.PROD.XD,1.21692228917616,1.08767990361148,1.08837447716959,1.13810889369401,1.07599261969373,1.02108867358979,0.973083295166543,0.968543627513159,0.95129789454425,0.842513075083223,0.898993055913302,0.85562447122028,0.818040551481629,0.77481517978402,0.715816633867772,0.797446034133837,0.855839046240577
Argentina,ARG,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.738911331278537,0.768339653055081,0.74687251206531,0.744780535135278,0.745347604431237,0.724879836894179,0.693234294293569,0.654300604814838,0.620442723463992,0.593940000769507,0.57610042493041,0.549651992521433,0.533365402275083,0.505924721011056,0.48508593972894,0.478046613401828,0.459332807854794
Armenia,ARM,Economic Fitness Metric,EF.EFM.PROD.XD,0.657827126768357,0.687079132382252,0.682983877548859,0.489499056867495,0.658908167973375,0.675844539050528,0.548173447412509,0.522689597740219,0.600747294054173,0.535237823877852,0.585138810224571,0.657320308485345,0.577698331682462,0.57432413280647,0.6257698678506,0.84210661420153,0.897821908322637
Armenia,ARM,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.011249824497548,0.010549254539786,0.00990188364951059,0.00932070606125942,0.0103814678778886,0.0114798137610334,0.0120210746055598,0.0121495453487461,0.0123345915560059,0.0126295144436219,0.0131179112812605,0.0140491810984321,0.0147615957991344,0.0151334549583932,0.0150611600947929,0.0177798437730588,0.0222953761892099
